Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001519,Female,No,0.0,Graduate,No,60000,51666.0,225.0,360.0,1.0,Rural,N
LP001020,Male,Yes,1.0,Graduate,No,62841,60968.0,349.0,360.0,1.0,Semiurban,N
LP002231,Female,No,0.0,Graduate,No,56000,50000.0,156.0,360.0,1.0,Urban,Y
LP002731,Female,No,0.0,Not Graduate,Yes,68165,50000.0,125.0,360.0,1.0,Urban,Y
LP001658,Male,No,0.0,Graduate,No,53858,50000.0,76.0,360.0,1.0,Semiurban,Y
LP001487,Male,No,0.0,Graduate,No,54895,50000.0,102.0,360.0,1.0,Semiurban,Y
LP002847,Male,Yes,,Graduate,No,55116,51451.0,165.0,360.0,0.0,Urban,N
LP002138,Male,Yes,0.0,Graduate,No,52625,56250.0,187.0,360.0,1.0,Rural,Y
LP002949,Female,No,3.0,Graduate,Yes,50416,91667.0,350.0,180.0,,Urban,N
LP002453,Male,No,0.0,Graduate,Yes,57085,50000.0,84.0,360.0,1.0,Semiurban,Y
LP001279,Male,No,0.0,Graduate,No,52366,52531.0,136.0,360.0,1.0,Semiurban,Y
LP002529,Male,Yes,2.0,Graduate,No,56700,51750.0,230.0,300.0,1.0,Semiurban,Y
LP001634,Male,No,0.0,Graduate,No,51916,55063.0,67.0,360.0,,Rural,N
LP001541,Male,Yes,1.0,Graduate,No,56000,50000.0,160.0,360.0,,Rural,Y
LP002484,Male,Yes,3.0,Graduate,No,57740,50000.0,128.0,180.0,1.0,Urban,Y
LP001677,Male,No,2.0,Graduate,No,54923,50000.0,166.0,360.0,0.0,Semiurban,Y
LP001256,Male,No,0.0,Graduate,No,53750,54750.0,176.0,360.0,1.0,Urban,N
LP001322,Male,No,0.0,Graduate,No,54133,50000.0,122.0,360.0,1.0,Semiurban,Y
LP002753,Female,No,1.0,Graduate,Yes,53652,50000.0,95.0,360.0,1.0,Semiurban,Y
LP001241,Female,No,0.0,Graduate,No,54300,50000.0,136.0,360.0,0.0,Semiurban,N
LP001032,Male,No,0.0,Graduate,No,54950,50000.0,125.0,360.0,1.0,Urban,Y
LP001702,Male,No,0.0,Graduate,No,53418,50000.0,127.0,360.0,1.0,Semiurban,N
LP001562,Male,Yes,0.0,Graduate,No,57933,50000.0,275.0,360.0,1.0,Urban,N
LP001310,Male,Yes,0.0,Graduate,No,55695,54167.0,175.0,360.0,1.0,Semiurban,Y
LP002634,Female,No,1.0,Graduate,No,63262,50000.0,40.0,360.0,1.0,Urban,Y
LP001422,Female,No,0.0,Graduate,No,60408,50000.0,259.0,360.0,1.0,Urban,Y
LP002250,Male,Yes,0.0,Graduate,No,55488,50000.0,125.0,360.0,1.0,Rural,Y
LP002328,Male,Yes,0.0,Not Graduate,No,56096,50000.0,218.0,360.0,0.0,Rural,N
LP001100,Male,No,3.0,Graduate,No,62500,53000.0,320.0,360.0,1.0,Rural,N
LP001002,Male,No,0.0,Graduate,No,55849,50000.0,,360.0,1.0,Urban,Y
LP002964,Male,Yes,2.0,Not Graduate,No,53987,51411.0,157.0,360.0,1.0,Rural,Y
LP002892,Male,Yes,2.0,Graduate,No,56540,50000.0,205.0,360.0,1.0,Semiurban,Y
LP002141,Male,Yes,3.0,Graduate,No,52666,52083.0,95.0,360.0,1.0,Rural,Y
LP002114,Female,No,0.0,Graduate,No,54160,50000.0,71.0,360.0,1.0,Semiurban,Y
LP002813,Female,Yes,1.0,Graduate,Yes,69484,50000.0,600.0,360.0,1.0,Semiurban,Y
LP001835,Male,Yes,0.0,Not Graduate,No,51668,53890.0,201.0,360.0,0.0,Semiurban,N
LP001047,Male,Yes,0.0,Not Graduate,No,52600,51911.0,116.0,360.0,0.0,Semiurban,N
LP002443,Male,Yes,2.0,Graduate,No,53340,51710.0,150.0,360.0,0.0,Rural,N
LP001421,Male,Yes,0.0,Graduate,No,55568,52142.0,175.0,360.0,1.0,Rural,N
LP001316,Male,Yes,0.0,Graduate,No,52958,52900.0,131.0,360.0,1.0,Semiurban,Y
LP002201,Male,Yes,2.0,Graduate,Yes,59323,57873.0,380.0,300.0,1.0,Rural,Y
LP001722,Male,Yes,0.0,Graduate,No,50150,51800.0,135.0,360.0,1.0,Rural,N
LP001038,Male,Yes,0.0,Not Graduate,No,54887,50000.0,133.0,360.0,1.0,Rural,N
LP002950,Male,Yes,0.0,Not Graduate,Yes,52894,52792.0,155.0,360.0,1.0,Rural,Y
LP002068,Male,No,0.0,Graduate,No,54917,50000.0,130.0,360.0,0.0,Rural,Y
LP001518,Male,Yes,1.0,Graduate,No,51538,51425.0,30.0,360.0,1.0,Urban,Y
LP001996,Male,No,0.0,Graduate,No,70233,50000.0,480.0,360.0,1.0,Rural,N
LP001910,Male,No,1.0,Not Graduate,Yes,54053,52426.0,158.0,360.0,0.0,Urban,N
LP002785,Male,Yes,1.0,Graduate,No,53333,53250.0,158.0,360.0,1.0,Urban,Y
LP002684,Female,No,0.0,Not Graduate,No,53400,50000.0,95.0,360.0,1.0,Rural,N
LP001849,Male,No,0.0,Not Graduate,No,56045,50000.0,115.0,360.0,0.0,Rural,N
LP001940,Male,Yes,2.0,Graduate,No,53153,51560.0,134.0,360.0,1.0,Urban,Y
LP002740,Male,Yes,3.0,Graduate,No,56417,50000.0,157.0,180.0,1.0,Rural,Y
LP002314,Female,No,0.0,Not Graduate,No,52213,50000.0,66.0,360.0,1.0,Rural,Y
LP001581,Male,Yes,0.0,Not Graduate,Yes,51820,51769.0,95.0,360.0,1.0,Rural,Y
LP001194,Male,Yes,2.0,Graduate,No,52708,51167.0,97.0,360.0,1.0,Semiurban,Y
LP001954,Female,Yes,1.0,Graduate,No,54666,50000.0,135.0,360.0,1.0,Urban,Y
LP001144,Male,Yes,0.0,Graduate,No,55821,50000.0,144.0,360.0,1.0,Urban,Y
LP001325,Male,No,0.0,Not Graduate,No,53620,50000.0,25.0,120.0,1.0,Semiurban,Y
LP001888,Female,No,0.0,Graduate,No,53237,50000.0,30.0,360.0,1.0,Urban,Y
LP001385,Male,No,0.0,Graduate,No,55316,50000.0,136.0,360.0,1.0,Urban,Y
LP001907,Male,Yes,0.0,Graduate,No,64583,50000.0,436.0,360.0,1.0,Semiurban,Y
LP002990,Female,No,0.0,Graduate,Yes,54583,50000.0,133.0,360.0,0.0,Semiurban,N
LP002560,Male,No,0.0,Not Graduate,No,52699,52785.0,96.0,360.0,,Semiurban,Y
LP002984,Male,Yes,2.0,Graduate,No,57583,50000.0,187.0,360.0,1.0,Urban,Y
LP002255,Male,No,3.0,Graduate,No,59167,50000.0,185.0,360.0,1.0,Rural,Y
LP002533,Male,Yes,2.0,Graduate,No,52947,51603.0,,360.0,1.0,Urban,N
LP002582,Female,No,0.0,Not Graduate,Yes,67263,50000.0,225.0,360.0,1.0,Semiurban,Y
LP002296,Male,No,0.0,Not Graduate,No,52755,50000.0,65.0,300.0,1.0,Rural,N
LP001891,Male,Yes,0.0,Graduate,No,61146,50000.0,136.0,360.0,1.0,Urban,Y
LP002562,Male,Yes,1.0,Not Graduate,No,55333,51131.0,186.0,360.0,,Urban,Y
LP002537,Male,Yes,0.0,Graduate,No,52083,53150.0,128.0,360.0,1.0,Semiurban,Y
LP001243,Male,Yes,0.0,Graduate,No,53208,53066.0,172.0,360.0,1.0,Urban,Y
LP001788,Female,No,0.0,Graduate,Yes,53463,50000.0,122.0,360.0,,Urban,Y
LP002318,Female,No,1.0,Not Graduate,Yes,53867,50000.0,62.0,360.0,1.0,Semiurban,N
LP001922,Male,Yes,0.0,Graduate,No,70667,50000.0,,360.0,1.0,Rural,N
LP002716,Male,No,0.0,Not Graduate,No,56783,50000.0,130.0,360.0,1.0,Semiurban,Y
LP002151,Male,Yes,1.0,Graduate,No,53875,50000.0,67.0,360.0,1.0,Urban,N
LP002689,Male,Yes,2.0,Not Graduate,No,52192,51742.0,45.0,360.0,1.0,Semiurban,Y
LP001531,Male,No,0.0,Graduate,No,59166,50000.0,244.0,360.0,1.0,Urban,N
LP001449,Male,No,0.0,Graduate,No,53865,51640.0,,360.0,1.0,Rural,Y
LP002807,Male,Yes,2.0,Not Graduate,No,53675,50242.0,108.0,360.0,1.0,Semiurban,Y
LP002527,Male,Yes,2.0,Graduate,Yes,66525,51014.0,150.0,360.0,1.0,Rural,Y
LP001653,Male,No,0.0,Not Graduate,No,54885,50000.0,48.0,360.0,1.0,Rural,Y
LP001776,Female,No,0.0,Graduate,No,58333,50000.0,280.0,360.0,1.0,Semiurban,Y
LP001953,Male,Yes,1.0,Graduate,No,56875,50000.0,200.0,360.0,1.0,Semiurban,Y
LP001843,Male,Yes,1.0,Not Graduate,No,52661,57101.0,279.0,180.0,1.0,Semiurban,Y
LP001949,Male,Yes,3.0,Graduate,Yes,54416,51250.0,110.0,360.0,1.0,Urban,Y
LP001846,Female,No,3.0,Graduate,No,53083,50000.0,255.0,360.0,1.0,Rural,Y
LP002447,Male,Yes,2.0,Not Graduate,No,51958,51456.0,60.0,300.0,,Urban,Y
LP002205,Male,No,1.0,Graduate,No,53062,51987.0,111.0,180.0,0.0,Urban,N
LP002821,Male,No,0.0,Not Graduate,Yes,55800,50000.0,132.0,360.0,1.0,Semiurban,Y
LP002489,Female,No,1.0,Not Graduate,Yes,55191,50000.0,132.0,360.0,1.0,Semiurban,Y
