iter	Logloss
0	0.6885753531
1	0.6850953352
2	0.6814788186
3	0.6776091792
4	0.6741137572
5	0.6705258868
6	0.667053187
7	0.6633521527
8	0.659843231
9	0.6564477089
10	0.6528405091
11	0.6493942531
12	0.6457677979
13	0.6427561584
14	0.6398436737
15	0.6368475335
16	0.6342142361
17	0.6311251635
18	0.6285824014
19	0.6251531191
20	0.6226557204
21	0.6194178925
22	0.6163232697
23	0.6137518249
24	0.6106167949
25	0.6083693651
26	0.6055212053
27	0.6028285972
28	0.6001501871
29	0.5977966591
30	0.5956363029
31	0.5931653404
32	0.5911713958
33	0.5888496827
34	0.5863958646
35	0.584176042
36	0.5817165641
37	0.5798926777
38	0.5779111435
39	0.5760712454
40	0.574339186
41	0.5718787609
42	0.5697122524
43	0.5677645251
44	0.5652035469
45	0.5633614234
46	0.5612050027
47	0.5590260046
48	0.5562504578
49	0.5542764937
50	0.552459954
51	0.5509191491
52	0.5490712161
53	0.5473025128
54	0.5456052573
55	0.5436010737
56	0.5416848905
57	0.5399091797
58	0.537875236
59	0.5361309306
60	0.5343505958
61	0.5326889761
62	0.5308197719
63	0.5293473879
64	0.5280882846
65	0.5265528288
66	0.5247592871
67	0.5229127258
68	0.5217878012
69	0.5201970613
70	0.5187793961
71	0.5175515963
72	0.5161823996
73	0.5148108941
74	0.5133903871
75	0.5119277494
76	0.5106445209
77	0.5093815879
78	0.5081018994
79	0.5069080035
80	0.5058794101
81	0.5043437174
82	0.5027076831
83	0.5016803346
84	0.5003331769
85	0.4990963506
86	0.4976023909
87	0.4960876965
88	0.4946820577
89	0.4934682582
90	0.4919086011
91	0.4907961818
92	0.4898597204
93	0.4887803285
94	0.4877685329
95	0.4870066004
96	0.4857941653
97	0.4848626176
98	0.4837050367
99	0.482801556
100	0.4816221772
101	0.4804790287
102	0.4794127951
103	0.4783627322
104	0.4769931822
105	0.4762972779
106	0.4754058795
107	0.4745268834
108	0.4731939564
109	0.4723641382
110	0.4718343058
111	0.470959818
112	0.4702423828
113	0.4691893711
114	0.4683544108
115	0.467865761
116	0.4669577443
117	0.466339392
118	0.465434871
119	0.4642766748
120	0.4634076782
121	0.4627088075
122	0.4618551246
123	0.461065753
124	0.4600142349
125	0.4593122216
126	0.4588908481
127	0.458390137
128	0.4570000516
129	0.4562090797
130	0.4555947359
131	0.4548887374
132	0.454143738
133	0.4533373159
134	0.4526546356
135	0.4515959655
136	0.4510091769
137	0.4501569529
138	0.44983778
139	0.4492816838
140	0.4486144725
141	0.4482512969
142	0.4474613176
143	0.4469556994
144	0.4461798007
145	0.4455982295
146	0.4453030232
147	0.4444817343
148	0.4441237204
149	0.4436818773
150	0.4429956097
151	0.4424084023
152	0.441955033
153	0.4411881252
154	0.4408536326
155	0.4400390885
156	0.4392344942
157	0.4386545993
158	0.4380022381
159	0.43747882
160	0.4367279988
161	0.4362589202
162	0.435577974
163	0.4351462714
164	0.4344379433
165	0.4337477007
166	0.4331199099
167	0.4323776969
168	0.4322674336
169	0.4317921711
170	0.4311439633
171	0.4304945438
172	0.429933332
173	0.4292134539
174	0.4285799698
175	0.4281441314
176	0.4276236063
177	0.4269827084
178	0.426339005
179	0.4258713475
180	0.4254682888
181	0.4249583717
182	0.4246688875
183	0.4238320145
184	0.4231971798
185	0.4228061966
186	0.4225682135
187	0.4220988423
188	0.4216052275
189	0.4214330367
190	0.4211306195
191	0.4207438378
192	0.4201519338
193	0.4195363736
194	0.4192008518
195	0.4186581019
196	0.4181250916
197	0.4178923241
198	0.4175117023
199	0.4168958068
200	0.4166065846
201	0.4162555202
202	0.4156173327
203	0.4151881358
204	0.4147990745
205	0.4145450642
206	0.414297306
207	0.4139328105
208	0.4134474449
209	0.4131207072
210	0.4127153292
211	0.4121738397
212	0.4115575099
213	0.4111045341
214	0.4107572848
215	0.4103885862
216	0.410102529
217	0.4097790635
218	0.4093832052
219	0.4089904485
220	0.4088118043
221	0.4086054657
222	0.4081800584
223	0.4078000143
224	0.4077059993
225	0.4072284702
226	0.4068899681
227	0.4064947311
228	0.405989936
229	0.4057101529
230	0.4053877348
231	0.4052093545
232	0.404815337
233	0.4045793187
234	0.4042051686
235	0.4036963228
236	0.4033230783
237	0.4030621882
238	0.402722959
239	0.4023724872
240	0.4020849302
241	0.4016987512
242	0.4014251432
243	0.4010513016
244	0.4006056107
245	0.4002339902
246	0.399684871
247	0.3993621986
248	0.3986655953
249	0.3981936361
250	0.39748045
251	0.3969129119
252	0.3966708375
253	0.3965363382
254	0.39603139
255	0.3958256074
256	0.3953628124
257	0.3952786654
258	0.3950108269
259	0.3945919939
260	0.3941595876
261	0.3937461947
262	0.393400206
263	0.392971019
264	0.3926678477
265	0.3923895914
266	0.3920432383
267	0.391889032
268	0.3912829048
269	0.3911493312
270	0.3907549758
271	0.3904587043
272	0.3902536647
273	0.389644704
274	0.3893094244
275	0.3890881422
276	0.388704051
277	0.3885279383
278	0.388186009
279	0.3880211494
280	0.3877153975
281	0.3874155572
282	0.3870027882
283	0.3866350423
284	0.3861999493
285	0.385867358
286	0.385679945
287	0.3852483155
288	0.3851136331
289	0.3847807527
290	0.3846832435
291	0.384397096
292	0.3838547819
293	0.3834299928
294	0.3833714605
295	0.383247794
296	0.3830160965
297	0.3827175666
298	0.3824970795
299	0.3820622659
300	0.3817844473
301	0.3816349615
302	0.3812551906
303	0.3810312225
304	0.3808189592
305	0.3805968
306	0.3801185848
307	0.3799287289
308	0.3796727888
309	0.3792305897
310	0.3789323916
311	0.3788808923
312	0.3787179694
313	0.3783344336
314	0.3781288925
315	0.3780969112
316	0.37789666
317	0.3776538105
318	0.3774814863
319	0.3773098475
320	0.3769534606
321	0.3766979614
322	0.3764772919
323	0.3761077351
324	0.376029811
325	0.3756807809
326	0.3753034641
327	0.3752107509
328	0.3748468452
329	0.3745263179
330	0.3742627414
331	0.3740125449
332	0.3736754884
333	0.3733763382
334	0.3730555057
335	0.3727672453
336	0.3725600897
337	0.3723679361
338	0.3719455012
339	0.3715402278
340	0.3713276031
341	0.3708451885
342	0.3705325108
343	0.3702721854
344	0.370023185
345	0.3699244147
346	0.3696881707
347	0.369478298
348	0.3691626312
349	0.3687829768
350	0.3685616002
351	0.368423789
352	0.3679210108
353	0.3677035438
354	0.3673908038
355	0.3672474368
356	0.3668951253
357	0.3666365598
358	0.3666213752
359	0.3664977366
360	0.3661467341
361	0.3659662922
362	0.3656577046
363	0.365513725
364	0.3652215324
365	0.365043454
366	0.3647339148
367	0.364495221
368	0.3644238035
369	0.3640449944
370	0.3637433361
371	0.3632557108
372	0.3629579543
373	0.3627111293
374	0.362506997
375	0.3623012417
376	0.3618577082
377	0.3615557762
378	0.3612304072
379	0.3607285182
380	0.3604538711
381	0.3602356408
382	0.3600275176
383	0.3595767357
384	0.3592563094
385	0.3590664033
386	0.3587107071
387	0.358577272
388	0.3583827666
389	0.3581533072
390	0.3579188635
391	0.3576222667
392	0.3572984824
393	0.3571220494
394	0.3568642605
395	0.3565951768
396	0.3563906654
397	0.3561328577
398	0.3558878654
399	0.3557161791
400	0.3554527351
401	0.3552138248
402	0.354918896
403	0.3547866909
404	0.3543915144
405	0.3542030687
406	0.3540629496
407	0.3539216785
408	0.3537109002
409	0.3532373788
410	0.3529719563
411	0.3527082472
412	0.3523166049
413	0.35186866
414	0.3518046511
415	0.3515612307
416	0.3514402938
417	0.3512154702
418	0.3510054077
419	0.3507708055
420	0.3503997755
421	0.3502148172
422	0.3499834008
423	0.349764923
424	0.3495649794
425	0.349506003
426	0.3492747939
427	0.3489899265
428	0.3487516652
429	0.3485297884
430	0.3480915553
431	0.3478757385
432	0.3474981554
433	0.3472809444
434	0.3471236948
435	0.3469696761
436	0.3466130929
437	0.3464823814
438	0.3462281569
439	0.3461756262
440	0.3458354017
441	0.3455681167
442	0.3453223788
443	0.3447214977
444	0.3443073108
445	0.3441257399
446	0.3440673492
447	0.3437678773
448	0.3436181336
449	0.3434940631
450	0.3431593631
451	0.3431314976
452	0.3428117996
453	0.342567552
454	0.3424665452
455	0.3421091577
456	0.3418041885
457	0.3416583067
458	0.3414497903
459	0.3411760668
460	0.3409378559
461	0.3407500808
462	0.3405002306
463	0.3403937761
464	0.3401609645
465	0.3399430704
466	0.3398072874
467	0.3395648905
468	0.3394435306
469	0.3391951755
470	0.3389373018
471	0.3387391481
472	0.3385570518
473	0.3383241957
474	0.3378957552
475	0.3376235765
476	0.337325775
477	0.3371617976
478	0.3368022583
479	0.336755096
480	0.3366347645
481	0.3364050198
482	0.3362221836
483	0.3359558105
484	0.3357143701
485	0.3354741538
486	0.3352853198
487	0.3350524897
488	0.334795639
489	0.3347728274
490	0.3345016499
491	0.3343058454
492	0.3340124019
493	0.3336822881
494	0.3335860456
495	0.3335165472
496	0.333339145
497	0.3331230624
498	0.3329673675
499	0.3326774742
500	0.3325569671
501	0.3323649041
502	0.3323086878
503	0.3322018077
504	0.3316842303
505	0.3315328497
506	0.331198119
507	0.3310835995
508	0.330997436
509	0.3307187989
510	0.3304942062
511	0.3303597321
512	0.3301999439
513	0.3300140937
514	0.3298520241
515	0.3296876348
516	0.3292389503
517	0.3290092549
518	0.3287614507
519	0.3284283224
520	0.3282508546
521	0.3280823186
522	0.3278742363
523	0.3276084802
524	0.3273364994
525	0.3270692168
526	0.3267900656
527	0.3264664322
528	0.3261912767
529	0.3259545977
530	0.3257156413
531	0.3254874102
532	0.3252233131
533	0.3249787059
534	0.3247909547
535	0.3246110827
536	0.3245093321
537	0.3242789804
538	0.3241231239
539	0.3240614441
540	0.3239243829
541	0.3234124553
542	0.3232057501
543	0.3230429903
544	0.3228945867
545	0.3226303473
546	0.322318408
547	0.3219965462
548	0.3217337049
549	0.3215113205
550	0.3212500641
551	0.3210959569
552	0.3210168089
553	0.3208078074
554	0.3205482528
555	0.3202460453
556	0.3201755819
557	0.3199631442
558	0.3197392761
559	0.3195521782
560	0.3193385736
561	0.3190720982
562	0.3188415708
563	0.3186655478
564	0.3184067208
565	0.3181785136
566	0.3180671541
567	0.317864025
568	0.3176549526
569	0.3173347639
570	0.3172441492
571	0.317103455
572	0.3168477329
573	0.3167162485
574	0.3164965276
575	0.316373148
576	0.3160880517
577	0.3159402793
578	0.3156548664
579	0.3154568173
580	0.3151695965
581	0.3147841689
582	0.3145323914
583	0.3144335597
584	0.3142854556
585	0.3141045942
586	0.3139140581
587	0.3136748701
588	0.3134374237
589	0.313210925
590	0.3131932654
591	0.3130096651
592	0.3127797318
593	0.3126346726
594	0.312461371
595	0.3122430347
596	0.311831181
597	0.3114531212
598	0.3112738384
599	0.3111258571
600	0.3108911704
601	0.3107594578
602	0.3105668214
603	0.3101905198
604	0.3101102747
605	0.3098403542
606	0.3096142499
607	0.3093222749
608	0.3090598526
609	0.3087036939
610	0.308572927
611	0.3084912033
612	0.3082520358
613	0.3081164273
614	0.3078423302
615	0.3077103037
616	0.3076130566
617	0.3074952349
618	0.3071939357
619	0.3070028823
620	0.3067805897
621	0.3065969847
622	0.3063083251
623	0.3061415411
624	0.3058410282
625	0.3056648466
626	0.3055559838
627	0.305386337
628	0.305111897
629	0.3049116633
630	0.304725851
631	0.3045095447
632	0.3042859211
633	0.3040747648
634	0.3039912412
635	0.3038397559
636	0.3037377272
637	0.3034799875
638	0.3034135198
639	0.3033075298
640	0.3030187296
641	0.3027058027
642	0.3025204193
643	0.3022295653
644	0.301982835
645	0.3019374454
646	0.3016707316
647	0.3015134821
648	0.3013842016
649	0.3012468725
650	0.3010160726
651	0.3007305215
652	0.3006209714
653	0.3004182575
654	0.3002777192
655	0.3001735338
656	0.2999481187
657	0.2998082613
658	0.2997867717
659	0.2996557096
660	0.2994781458
661	0.2992520619
662	0.2991199845
663	0.2989064063
664	0.2986514264
665	0.2984716321
666	0.2982494058
667	0.2980233795
668	0.2978564718
669	0.2976619105
670	0.2972787212
671	0.2972730047
672	0.2970845472
673	0.2969740657
674	0.2967721241
675	0.2966440178
676	0.2964804322
677	0.2962520424
678	0.2960916306
679	0.2959176265
680	0.2958165602
681	0.2956383827
682	0.295395796
683	0.295227372
684	0.2950448167
685	0.2948913714
686	0.2948453541
687	0.2948201453
688	0.2946563667
689	0.2943987502
690	0.2942295451
691	0.2940919821
692	0.2937694095
693	0.2935955612
694	0.2933844335
695	0.2932077816
696	0.29291452
697	0.2927218429
698	0.2926055784
699	0.2925886789
700	0.2924629445
701	0.2922960019
702	0.2921829348
703	0.2920754307
704	0.2919807284
705	0.2917589687
706	0.2916440313
707	0.2914906927
708	0.2912840808
709	0.2911186859
710	0.2909585721
711	0.2908031462
712	0.2907775404
713	0.2906092443
714	0.2905443358
715	0.2903584958
716	0.2900198735
717	0.289716964
718	0.2896157246
719	0.2893933557
720	0.2892607919
721	0.2889967174
722	0.2888341302
723	0.2887568297
724	0.288558553
725	0.2884743954
726	0.2882879556
727	0.2881607174
728	0.2878410412
729	0.2875786401
730	0.2875204176
731	0.2872491731
732	0.2870502739
733	0.2869389581
734	0.2866212671
735	0.2863008006
736	0.2861382684
737	0.2859354481
738	0.2856765205
739	0.2855464711
740	0.285362084
741	0.2852352052
742	0.2850703936
743	0.2849451169
744	0.2847839202
745	0.2846408878
746	0.2844633156
747	0.2843440836
748	0.2841704184
749	0.2840101245
750	0.2837459712
751	0.2836277253
752	0.2833881398
753	0.2832724577
754	0.2830669922
755	0.2829499826
756	0.2828392746
757	0.2827407149
758	0.2825553193
759	0.2824267099
760	0.2822574148
761	0.2820225702
762	0.281778161
763	0.2815123487
764	0.2814861496
765	0.2813963967
766	0.2813462822
767	0.2812519719
768	0.2811049814
769	0.2809796084
770	0.2808394796
771	0.2806959025
772	0.280568149
773	0.280384577
774	0.2801780646
775	0.2799798422
776	0.2797747898
777	0.2795722809
778	0.2792986212
779	0.2790445511
780	0.2788011497
781	0.2786448792
782	0.2785468418
783	0.2783489003
784	0.2782176239
785	0.2780206351
786	0.2779250499
787	0.277922123
788	0.2776814634
789	0.2774694093
790	0.2773272168
791	0.277090005
792	0.2768806381
793	0.276718931
794	0.2764811621
795	0.2763602242
796	0.2763368861
797	0.2762405164
798	0.2758960537
799	0.2757116354
800	0.2755709355
801	0.275268223
802	0.27507693
803	0.2749804972
804	0.2748358522
805	0.2747008045
806	0.2745699848
807	0.2742534654
808	0.2740661627
809	0.2740445661
810	0.2738758413
811	0.2737197809
812	0.2735647424
813	0.2734818733
814	0.2732910215
815	0.2731273601
816	0.2730124169
817	0.2727964301
818	0.2726098633
819	0.2724144454
820	0.2723089861
821	0.272195331
822	0.2719636874
823	0.271852112
824	0.2716617108
825	0.2714749071
826	0.2713829875
827	0.2712995939
828	0.2711368468
829	0.2709712289
830	0.2708386796
831	0.2706885936
832	0.2706230577
833	0.2704695034
834	0.2702525739
835	0.2701708248
836	0.2698449305
837	0.2696817782
838	0.269445632
839	0.269280294
840	0.2690645347
841	0.2689035059
842	0.2687582179
843	0.2685819976
844	0.2683952907
845	0.268195684
846	0.2680808515
847	0.2678745593
