iter	Passed	Remaining
0	11	11987
1	13	6647
2	14	4768
3	16	3984
4	17	3452
5	20	3473
6	23	3268
7	24	3065
8	25	2849
9	27	2721
10	29	2621
11	30	2539
12	32	2479
13	34	2452
14	37	2435
15	38	2398
16	39	2301
17	41	2262
18	42	2187
19	43	2154
20	45	2103
21	46	2079
22	48	2069
23	52	2124
24	54	2106
25	54	2059
26	56	2044
27	58	2026
28	60	2012
29	61	2001
30	63	1990
31	67	2041
32	68	2015
33	70	2006
34	72	2001
35	74	1990
36	76	1981
37	77	1949
38	78	1941
39	80	1930
40	82	1923
41	84	1926
42	86	1914
43	87	1892
44	88	1882
45	89	1866
46	91	1855
47	93	1846
48	95	1862
49	98	1879
50	100	1871
51	101	1857
52	103	1849
53	105	1842
54	106	1834
55	108	1830
56	110	1826
57	113	1844
58	115	1842
59	117	1835
60	118	1831
61	120	1825
62	122	1820
63	124	1814
64	125	1810
65	129	1829
66	131	1829
67	132	1822
68	134	1809
69	135	1804
70	137	1797
71	138	1789
72	140	1783
73	143	1797
74	146	1802
75	147	1796
76	149	1790
77	151	1785
78	152	1778
79	154	1773
80	155	1767
81	158	1776
82	161	1785
83	163	1781
84	165	1777
85	166	1772
86	168	1766
87	170	1762
88	171	1757
89	174	1765
90	177	1769
91	178	1764
92	180	1759
93	182	1754
94	183	1750
95	185	1746
96	187	1742
97	190	1752
98	193	1758
99	194	1754
100	196	1751
101	198	1747
102	200	1742
103	201	1737
104	203	1735
105	206	1745
106	208	1743
107	210	1740
108	212	1737
109	214	1734
110	215	1723
111	216	1720
112	219	1719
113	222	1726
114	224	1724
115	225	1715
116	226	1710
117	227	1703
118	229	1699
119	231	1695
120	232	1690
121	235	1694
122	238	1698
123	240	1697
124	241	1692
125	243	1688
126	244	1682
127	246	1678
128	248	1676
129	250	1678
130	254	1685
131	255	1683
132	257	1679
133	259	1675
134	260	1671
135	262	1667
136	264	1663
137	266	1666
138	269	1667
139	270	1664
140	272	1660
141	273	1654
142	275	1650
143	276	1646
144	278	1642
145	280	1639
146	281	1635
147	284	1639
148	285	1632
149	287	1628
150	289	1624
151	290	1622
152	292	1618
153	294	1615
154	295	1613
155	299	1620
156	301	1619
157	303	1617
158	305	1614
159	307	1612
160	308	1610
161	310	1608
162	314	1613
163	316	1615
164	318	1612
165	320	1610
166	322	1606
167	323	1603
168	324	1596
169	326	1592
170	329	1595
171	331	1596
172	333	1592
173	334	1589
174	336	1586
175	338	1584
176	340	1581
177	341	1577
178	344	1579
179	347	1581
180	348	1578
181	350	1575
182	352	1573
183	354	1570
184	355	1567
185	357	1564
186	359	1564
187	362	1566
188	364	1563
189	365	1558
190	367	1555
191	368	1552
192	370	1549
193	372	1546
194	374	1547
195	377	1549
196	379	1547
197	381	1543
198	382	1541
199	384	1538
200	386	1535
201	387	1532
202	390	1533
203	393	1536
204	395	1533
205	397	1530
206	398	1527
207	400	1524
208	401	1521
209	403	1518
210	406	1519
211	409	1521
212	411	1519
213	412	1516
214	414	1513
215	416	1511
216	417	1507
217	419	1504
218	422	1506
219	424	1506
220	426	1503
221	428	1500
222	429	1498
223	431	1494
224	432	1489
225	433	1486
226	435	1483
227	438	1485
228	441	1484
229	442	1482
230	444	1479
231	445	1476
232	447	1473
233	449	1470
234	451	1468
235	454	1470
236	456	1469
237	458	1466
238	459	1464
239	461	1460
240	463	1458
241	464	1455
242	466	1452
243	469	1454
244	471	1453
245	473	1450
246	474	1447
247	476	1445
248	478	1442
249	479	1439
250	481	1436
251	484	1437
252	486	1437
253	488	1434
254	490	1431
255	491	1429
256	493	1426
257	494	1422
258	496	1419
259	497	1417
260	501	1420
261	503	1419
262	506	1418
263	508	1416
264	510	1414
265	512	1412
266	514	1412
267	517	1414
268	519	1412
269	521	1409
270	523	1408
271	525	1405
272	526	1402
273	528	1400
274	532	1403
275	534	1401
276	535	1398
277	537	1396
278	539	1393
279	540	1390
280	542	1388
281	544	1386
282	548	1389
283	550	1387
284	552	1385
285	553	1382
286	555	1379
287	557	1377
288	558	1374
289	561	1374
290	563	1373
291	565	1371
292	567	1370
293	569	1367
294	570	1363
295	572	1361
296	574	1358
297	576	1358
298	579	1359
299	581	1356
300	583	1354
301	584	1351
302	586	1349
303	588	1346
304	589	1344
305	593	1346
306	595	1344
307	597	1342
308	599	1339
309	600	1337
310	602	1335
311	603	1331
312	605	1329
313	609	1331
314	611	1329
315	612	1325
316	614	1323
317	615	1320
318	617	1318
319	619	1315
320	620	1313
321	624	1314
322	626	1313
323	628	1311
324	629	1307
325	631	1305
326	633	1302
327	634	1299
328	636	1297
329	639	1298
330	642	1298
331	644	1295
332	645	1293
333	647	1291
334	649	1288
335	650	1285
336	652	1284
337	656	1285
338	658	1283
339	659	1281
340	661	1278
341	663	1276
342	665	1274
343	667	1272
344	671	1274
345	673	1273
346	675	1271
347	677	1269
348	679	1267
349	681	1265
350	683	1264
351	687	1265
352	689	1263
353	691	1261
354	693	1259
355	694	1257
356	696	1254
357	699	1253
358	701	1252
359	704	1251
360	705	1249
361	707	1247
362	709	1245
363	711	1242
364	713	1240
365	717	1242
366	719	1241
367	721	1238
368	722	1235
369	724	1233
370	726	1231
371	728	1229
372	731	1229
373	734	1229
374	735	1226
375	737	1224
376	739	1221
377	741	1219
378	743	1217
379	746	1218
380	749	1217
381	751	1215
382	753	1213
383	754	1211
384	756	1208
385	758	1206
386	760	1205
387	764	1205
388	766	1203
389	767	1201
390	769	1198
391	771	1196
392	773	1194
393	777	1195
394	780	1195
395	782	1193
396	784	1191
397	786	1189
398	787	1186
399	789	1184
400	793	1185
401	795	1183
402	797	1181
403	799	1178
404	800	1176
405	802	1174
406	804	1171
407	807	1171
408	810	1171
409	812	1169
410	814	1166
411	816	1164
412	817	1162
413	819	1160
414	821	1157
415	824	1157
416	827	1156
417	828	1153
418	830	1151
419	832	1149
420	833	1146
421	835	1144
422	838	1144
423	841	1143
424	843	1140
425	844	1137
426	846	1135
427	847	1133
428	849	1130
429	851	1129
430	855	1129
431	858	1128
432	859	1126
433	861	1123
434	863	1121
435	865	1118
436	866	1116
437	869	1115
438	872	1114
439	873	1111
440	874	1109
441	876	1106
442	878	1104
443	880	1102
444	881	1099
445	884	1098
446	887	1097
447	888	1095
448	890	1092
449	892	1090
450	893	1088
451	895	1085
452	896	1082
453	898	1080
454	902	1080
455	904	1079
456	906	1076
457	908	1074
458	909	1072
459	911	1070
460	913	1068
461	917	1068
462	919	1066
463	921	1064
464	923	1062
465	925	1060
466	926	1057
467	928	1055
468	931	1054
469	934	1053
470	936	1051
471	937	1049
472	939	1046
473	941	1044
474	942	1042
475	944	1039
476	947	1039
477	950	1037
478	952	1035
479	953	1032
480	954	1030
481	956	1027
482	958	1025
483	960	1023
484	962	1022
485	965	1021
486	967	1018
487	969	1016
488	970	1014
489	971	1011
490	973	1009
491	975	1006
492	978	1006
493	981	1004
494	982	1002
495	983	999
496	985	997
497	987	995
498	989	993
499	991	991
500	994	990
501	996	988
502	997	986
503	999	983
504	1001	981
505	1003	979
506	1004	977
507	1006	975
508	1010	974
509	1012	972
510	1014	970
511	1016	968
512	1017	966
513	1019	964
514	1021	961
515	1023	959
516	1026	959
517	1028	957
518	1030	955
519	1032	952
520	1034	950
521	1035	948
522	1037	946
523	1041	945
524	1044	944
525	1045	942
526	1047	940
527	1049	938
528	1051	936
529	1053	934
530	1057	933
531	1059	932
532	1061	929
533	1063	927
534	1065	925
535	1066	923
536	1068	921
537	1071	920
538	1074	919
539	1076	916
540	1077	914
541	1079	912
542	1081	910
543	1083	907
544	1085	906
545	1088	905
546	1090	903
547	1092	901
548	1094	898
549	1096	896
550	1097	894
551	1099	892
552	1103	891
553	1106	890
554	1107	888
555	1109	885
556	1111	883
557	1113	881
558	1114	879
559	1117	877
560	1120	876
561	1122	874
562	1124	872
563	1125	870
564	1127	868
565	1129	865
566	1130	863
567	1134	862
568	1137	861
569	1139	859
570	1140	857
571	1142	854
572	1144	852
573	1146	850
574	1148	849
575	1152	848
576	1154	846
577	1156	844
578	1158	842
579	1160	840
580	1161	837
581	1165	837
582	1168	835
583	1170	833
584	1172	831
585	1174	829
586	1175	827
587	1177	825
588	1181	824
589	1184	822
590	1185	820
591	1186	817
592	1188	815
593	1190	813
594	1191	811
595	1194	809
596	1197	808
597	1199	806
598	1201	804
599	1203	802
600	1205	800
601	1206	797
602	1208	795
603	1211	794
604	1214	792
605	1216	790
606	1217	788
607	1219	786
608	1221	784
609	1223	782
610	1225	780
611	1228	779
612	1230	777
613	1232	774
614	1234	772
615	1235	770
616	1237	768
617	1239	766
618	1242	764
619	1245	763
620	1246	760
621	1248	758
622	1249	756
623	1251	754
624	1253	751
625	1255	749
626	1257	748
627	1260	746
628	1262	744
629	1264	742
630	1265	740
631	1267	738
632	1269	735
633	1271	734
634	1274	732
635	1276	730
636	1278	728
637	1280	726
638	1282	724
639	1283	722
640	1285	719
641	1288	718
642	1291	717
643	1293	714
644	1295	712
645	1296	710
646	1298	708
647	1299	706
648	1301	704
649	1305	702
650	1307	701
651	1309	698
652	1311	696
653	1313	694
654	1315	692
655	1316	690
656	1320	689
657	1322	687
658	1323	685
659	1325	682
660	1327	680
661	1328	678
662	1330	676
663	1333	674
664	1336	673
665	1338	671
666	1340	669
667	1342	667
668	1344	664
669	1345	662
670	1347	660
671	1348	658
672	1352	657
673	1354	655
674	1356	653
675	1358	650
676	1359	648
677	1361	646
678	1363	644
679	1366	643
680	1369	641
681	1371	639
682	1373	637
683	1374	635
684	1376	632
685	1378	630
686	1380	628
687	1383	627
688	1385	625
689	1387	623
690	1388	621
691	1390	618
692	1392	616
693	1394	614
694	1397	613
695	1400	611
696	1402	609
697	1403	607
698	1405	605
699	1406	602
700	1408	600
701	1410	598
702	1414	597
703	1416	595
704	1418	593
705	1420	591
706	1422	589
707	1423	587
708	1425	585
709	1429	584
710	1432	582
711	1434	580
712	1435	577
713	1437	575
714	1439	573
715	1441	571
716	1444	570
717	1446	568
718	1448	566
719	1450	564
720	1452	561
721	1453	559
722	1455	557
723	1456	555
724	1459	553
725	1462	551
726	1464	549
727	1466	547
728	1467	545
729	1469	543
730	1470	541
731	1472	539
732	1475	537
733	1477	535
734	1479	533
735	1481	531
736	1482	529
737	1484	526
738	1486	524
739	1487	522
740	1491	521
741	1493	519
742	1495	517
743	1496	515
744	1498	512
745	1500	510
746	1502	508
747	1503	506
748	1507	505
749	1509	503
750	1511	501
751	1512	498
752	1514	496
753	1516	494
754	1518	492
755	1520	490
756	1524	489
757	1525	487
758	1527	485
759	1529	482
760	1531	480
761	1533	478
762	1534	476
763	1537	475
764	1539	472
765	1541	470
766	1542	468
767	1544	466
768	1546	464
769	1547	462
770	1549	460
771	1552	458
772	1555	456
773	1557	454
774	1558	452
775	1560	450
776	1562	448
777	1563	446
778	1565	444
779	1569	442
780	1571	440
781	1573	438
782	1574	436
783	1576	434
784	1578	432
785	1580	430
786	1582	428
787	1584	426
788	1587	424
789	1588	422
790	1590	420
791	1592	418
792	1593	416
793	1595	413
794	1597	412
795	1600	410
796	1602	408
797	1604	406
798	1605	403
799	1607	401
800	1609	399
801	1611	397
802	1613	395
803	1616	394
804	1618	392
805	1620	389
806	1621	387
807	1623	385
808	1625	383
809	1626	381
810	1629	379
811	1632	377
812	1634	375
813	1636	373
814	1637	371
815	1639	369
816	1641	367
817	1643	365
818	1646	363
819	1649	362
820	1651	360
821	1663	360
822	1668	358
823	1670	356
824	1672	354
825	1676	353
826	1681	351
827	1683	349
828	1686	347
829	1688	345
830	1691	343
831	1695	342
832	1698	340
833	1701	338
834	1703	336
835	1706	334
836	1711	333
837	1714	331
838	1717	329
839	1719	327
840	1722	325
841	1728	324
842	1730	322
843	1732	320
844	1734	318
845	1736	316
846	1739	314
847	1743	312
848	1745	310
849	1747	308
850	1749	306
851	1750	304
852	1752	302
853	1759	300
854	1761	298
855	1764	296
856	1767	294
857	1771	293
858	1774	291
859	1777	289
860	1779	287
861	1781	285
862	1783	283
863	1785	281
864	1789	279
865	1791	277
866	1792	275
867	1794	272
868	1796	270
869	1798	268
870	1801	266
871	1804	264
872	1806	262
873	1808	260
874	1809	258
875	1811	256
876	1812	254
877	1815	252
878	1819	250
879	1821	248
880	1823	246
881	1825	244
882	1826	242
883	1828	239
884	1831	237
885	1834	236
886	1836	233
887	1838	231
888	1840	229
889	1841	227
890	1843	225
891	1846	223
892	1849	221
893	1851	219
894	1853	217
895	1854	215
896	1856	213
897	1858	211
898	1860	208
899	1863	207
900	1866	205
901	1867	202
902	1869	200
903	1871	198
904	1873	196
905	1875	194
906	1877	192
907	1880	190
908	1882	188
909	1883	186
910	1885	184
911	1887	182
912	1889	180
913	1891	177
914	1894	175
915	1896	173
916	1898	171
917	1900	169
918	1902	167
919	1904	165
920	1905	163
921	1907	161
922	1911	159
923	1913	157
924	1915	155
925	1916	153
926	1918	151
927	1920	148
928	1922	146
929	1924	144
930	1927	142
931	1929	140
932	1931	138
933	1932	136
934	1934	134
935	1936	132
936	1938	130
937	1941	128
938	1943	126
939	1945	124
940	1947	122
941	1948	120
942	1950	117
943	1952	115
944	1955	113
945	1958	111
946	1960	109
947	1961	107
948	1963	105
949	1965	103
950	1967	101
951	1968	99
952	1971	97
953	1974	95
954	1976	93
955	1978	91
956	1979	88
957	1981	86
958	1983	84
959	1985	82
960	1988	80
961	1990	78
962	1992	76
963	1994	74
964	1996	72
965	1997	70
966	1999	68
967	2002	66
968	2005	64
969	2006	62
970	2008	59
971	2010	57
972	2012	55
973	2013	53
974	2015	51
975	2019	49
976	2021	47
977	2023	45
978	2024	43
979	2026	41
980	2028	39
981	2030	37
982	2033	35
983	2036	33
984	2037	31
985	2039	28
986	2041	26
987	2042	24
988	2044	22
989	2046	20
990	2049	18
991	2052	16
992	2053	14
993	2055	12
994	2057	10
995	2058	8
996	2060	6
997	2062	4
998	2065	2
999	2067	0
